time,azimuth,elevation
2024-12-23 04:01:00.02423+00,91.12,-37.33
2024-12-23 04:21:00.02512+00,94.17,-33.47
2024-12-23 04:41:00.027098+00,97.12,-29.63
2024-12-23 05:01:00.028472+00,99.99,-25.82
2024-12-23 05:21:00.029721+00,102.83,-22.03
2024-12-23 05:42:33.480562+00,105.88,-18.0
2024-12-23 05:50:33.481698+00,107.02,-16.52
2024-12-23 05:58:33.483116+00,108.16,-15.05
2024-12-23 06:06:33.484688+00,109.3,-13.58
2024-12-23 06:15:15.627878+00,110.55,-12.0
2024-12-23 06:23:15.629861+00,111.71,-10.56
2024-12-23 06:31:15.63098+00,112.88,-9.13
2024-12-23 06:39:15.632378+00,114.06,-7.7
2024-12-23 06:48:54.509314+00,115.5,-6.0
2024-12-23 06:52:54.510838+00,116.1,-5.3
2024-12-23 06:56:54.51292+00,116.71,-4.6
2024-12-23 07:00:54.514668+00,117.32,-3.9
2024-12-23 07:04:54.516116+00,117.93,-3.2
2024-12-23 07:08:54.517202+00,118.55,-2.49
2024-12-23 07:12:54.519044+00,119.17,-1.77
2024-12-23 07:16:54.519133+00,119.79,-1.01
2024-12-23 07:19:47.693821+00,120.25,-0.37
2024-12-23 07:21:47.696321+00,120.56,0.1
2024-12-23 07:23:47.698563+00,120.88,0.37
2024-12-23 07:25:47.700702+00,121.2,0.66
2024-12-23 07:27:47.702281+00,121.52,0.95
2024-12-23 07:29:47.702851+00,121.84,1.24
2024-12-23 07:31:47.704705+00,122.16,1.54
2024-12-23 07:33:47.705992+00,122.48,1.83
2024-12-23 07:35:47.70652+00,122.8,2.13
2024-12-23 07:37:47.708416+00,123.13,2.44
2024-12-23 07:39:47.710454+00,123.46,2.74
2024-12-23 07:41:47.711519+00,123.78,3.05
2024-12-23 07:43:47.712656+00,124.11,3.35
2024-12-23 07:45:47.713969+00,124.44,3.66
2024-12-23 07:47:47.716067+00,124.77,3.96
2024-12-23 07:49:47.718123+00,125.11,4.27
2024-12-23 07:51:47.719628+00,125.44,4.57
2024-12-23 07:53:47.720981+00,125.78,4.88
2024-12-23 07:55:47.722131+00,126.11,5.18
2024-12-23 07:57:47.723291+00,126.45,5.48
2024-12-23 07:59:47.725299+00,126.79,5.79
2024-12-23 08:01:47.726772+00,127.13,6.09
2024-12-23 08:03:47.728708+00,127.48,6.39
2024-12-23 08:05:47.729982+00,127.82,6.69
2024-12-23 08:07:47.731095+00,128.17,6.99
2024-12-23 08:09:47.733266+00,128.51,7.29
2024-12-23 08:11:47.732983+00,128.86,7.59
2024-12-23 08:13:47.734857+00,129.21,7.88
2024-12-23 08:15:47.736411+00,129.57,8.18
2024-12-23 08:17:47.738254+00,129.92,8.47
2024-12-23 08:19:47.739678+00,130.27,8.76
2024-12-23 08:21:47.741936+00,130.63,9.05
2024-12-23 08:23:47.743215+00,130.99,9.34
2024-12-23 08:25:47.744853+00,131.35,9.63
2024-12-23 08:27:47.746961+00,131.71,9.91
2024-12-23 08:28:23.390917+00,131.82,10.0
2024-12-23 08:32:23.393507+00,132.55,10.57
2024-12-23 08:36:23.395675+00,133.28,11.13
2024-12-23 08:40:23.39818+00,134.02,11.68
2024-12-23 08:44:23.398851+00,134.77,12.23
2024-12-23 08:48:23.40059+00,135.53,12.77
2024-12-23 08:52:23.401659+00,136.29,13.31
2024-12-23 08:56:23.403826+00,137.06,13.83
2024-12-23 09:00:23.405591+00,137.84,14.35
2024-12-23 09:04:23.406375+00,138.63,14.86
2024-12-23 09:08:23.408178+00,139.42,15.37
2024-12-23 09:12:23.410057+00,140.22,15.86
2024-12-23 09:16:23.411237+00,141.03,16.35
2024-12-23 09:20:23.41186+00,141.84,16.83
2024-12-23 09:24:23.413611+00,142.66,17.3
2024-12-23 09:28:23.414972+00,143.49,17.76
2024-12-23 09:32:23.416053+00,144.33,18.22
2024-12-23 09:36:23.41858+00,145.17,18.66
2024-12-23 09:40:23.419273+00,146.03,19.1
2024-12-23 09:44:23.420953+00,146.89,19.52
2024-12-23 09:48:23.422451+00,147.76,19.94
2024-12-23 09:52:23.424643+00,148.63,20.34
2024-12-23 09:56:23.426193+00,149.51,20.74
2024-12-23 10:00:23.427423+00,150.4,21.12
2024-12-23 10:04:23.429414+00,151.3,21.5
2024-12-23 10:08:23.430206+00,152.21,21.86
2024-12-23 10:12:23.431869+00,153.12,22.22
2024-12-23 10:16:23.433733+00,154.04,22.56
2024-12-23 10:20:23.4346+00,154.97,22.89
2024-12-23 10:24:23.436818+00,155.9,23.21
2024-12-23 10:28:23.438356+00,156.84,23.52
2024-12-23 10:32:23.440117+00,157.79,23.82
2024-12-23 10:36:23.44198+00,158.74,24.1
2024-12-23 10:40:23.443239+00,159.7,24.38
2024-12-23 10:44:23.444667+00,160.67,24.64
2024-12-23 10:48:23.445807+00,161.64,24.89
2024-12-23 10:52:23.447364+00,162.62,25.12
2024-12-23 10:56:23.448567+00,163.6,25.35
2024-12-23 11:00:23.449543+00,164.59,25.56
2024-12-23 11:04:23.451413+00,165.58,25.76
2024-12-23 11:08:23.453068+00,166.58,25.94
2024-12-23 11:12:23.45462+00,167.58,26.11
2024-12-23 11:16:23.455551+00,168.59,26.27
2024-12-23 11:20:23.458359+00,169.6,26.42
2024-12-23 11:24:23.460088+00,170.61,26.55
2024-12-23 11:28:23.461591+00,171.63,26.67
2024-12-23 11:32:23.462654+00,172.65,26.78
2024-12-23 11:36:23.463535+00,173.67,26.87
2024-12-23 11:40:23.464246+00,174.7,26.95
2024-12-23 11:44:23.465044+00,175.72,27.01
2024-12-23 11:48:23.467663+00,176.75,27.06
2024-12-23 11:52:23.469066+00,177.78,27.1
2024-12-23 11:56:23.470166+00,178.81,27.12
2024-12-23 12:00:45.004177+00,179.93,27.13
2024-12-23 12:04:45.007737+00,180.96,27.12
2024-12-23 12:08:45.010279+00,181.99,27.1
2024-12-23 12:12:45.013667+00,183.02,27.07
2024-12-23 12:16:45.014609+00,184.05,27.02
2024-12-23 12:20:45.01607+00,185.08,26.96
2024-12-23 12:24:45.017376+00,186.1,26.89
2024-12-23 12:28:45.01915+00,187.13,26.8
2024-12-23 12:32:45.020386+00,188.15,26.7
2024-12-23 12:36:45.021642+00,189.17,26.58
2024-12-23 12:40:45.023767+00,190.18,26.45
2024-12-23 12:44:45.025441+00,191.19,26.31
2024-12-23 12:48:45.026685+00,192.2,26.15
2024-12-23 12:52:45.027609+00,193.2,25.98
2024-12-23 12:56:45.029751+00,194.2,25.8
2024-12-23 13:00:45.031545+00,195.19,25.6
2024-12-23 13:04:45.032844+00,196.18,25.4
2024-12-23 13:08:45.034453+00,197.17,25.17
2024-12-23 13:12:45.035683+00,198.15,24.94
2024-12-23 13:16:45.037362+00,199.12,24.69
2024-12-23 13:20:45.037925+00,200.09,24.44
2024-12-23 13:24:45.040152+00,201.05,24.17
2024-12-23 13:28:45.041939+00,202.0,23.88
2024-12-23 13:32:45.042731+00,202.95,23.59
2024-12-23 13:36:45.044394+00,203.89,23.28
2024-12-23 13:40:45.046863+00,204.83,22.96
2024-12-23 13:44:45.048608+00,205.76,22.64
2024-12-23 13:48:45.04925+00,206.68,22.3
2024-12-23 13:52:45.051004+00,207.59,21.94
2024-12-23 13:56:45.052495+00,208.5,21.58
2024-12-23 14:00:45.053386+00,209.4,21.21
2024-12-23 14:04:45.054932+00,210.29,20.83
2024-12-23 14:08:45.056388+00,211.18,20.43
2024-12-23 14:12:45.05924+00,212.05,20.03
2024-12-23 14:16:45.060726+00,212.92,19.62
2024-12-23 14:20:45.062429+00,213.79,19.19
2024-12-23 14:24:45.063994+00,214.64,18.76
2024-12-23 14:28:45.0654+00,215.49,18.32
2024-12-23 14:32:45.067504+00,216.33,17.87
2024-12-23 14:36:45.069176+00,217.16,17.41
2024-12-23 14:40:45.070472+00,217.98,16.94
2024-12-23 14:44:45.07246+00,218.8,16.46
2024-12-23 14:48:45.073969+00,219.61,15.97
2024-12-23 14:52:45.075077+00,220.41,15.48
2024-12-23 14:56:45.076146+00,221.2,14.98
2024-12-23 15:00:45.078664+00,221.99,14.47
2024-12-23 15:04:45.080215+00,222.77,13.95
2024-12-23 15:08:45.081834+00,223.54,13.43
2024-12-23 15:12:45.083095+00,224.31,12.89
2024-12-23 15:16:45.084427+00,225.06,12.35
2024-12-23 15:20:45.086675+00,225.81,11.81
2024-12-23 15:24:45.089144+00,226.56,11.25
2024-12-23 15:28:45.090445+00,227.3,10.69
2024-12-23 15:33:38.755895+00,228.19,10.0
2024-12-23 15:35:38.757404+00,228.55,9.72
2024-12-23 15:37:38.758154+00,228.91,9.43
2024-12-23 15:39:38.759346+00,229.27,9.14
2024-12-23 15:41:38.760692+00,229.62,8.85
2024-12-23 15:43:38.761395+00,229.98,8.56
2024-12-23 15:45:38.762771+00,230.33,8.27
2024-12-23 15:47:38.764645+00,230.69,7.97
2024-12-23 15:49:38.766245+00,231.04,7.68
2024-12-23 15:51:38.767184+00,231.39,7.38
2024-12-23 15:53:38.767925+00,231.73,7.08
2024-12-23 15:55:38.768856+00,232.08,6.78
2024-12-23 15:57:38.771058+00,232.42,6.48
2024-12-23 15:59:38.772495+00,232.77,6.18
2024-12-23 16:01:38.773515+00,233.11,5.88
2024-12-23 16:03:38.775667+00,233.45,5.58
2024-12-23 16:05:38.777306+00,233.79,5.27
2024-12-23 16:07:38.778992+00,234.13,4.97
2024-12-23 16:09:55.988522+00,234.51,4.62
2024-12-23 16:11:55.990413+00,234.84,4.32
2024-12-23 16:13:55.991908+00,235.18,4.01
2024-12-23 16:15:55.992849+00,235.51,3.71
2024-12-23 16:17:55.995374+00,235.84,3.4
2024-12-23 16:19:55.995891+00,236.17,3.1
2024-12-23 16:21:55.997597+00,236.5,2.79
2024-12-23 16:23:55.9985+00,236.82,2.49
2024-12-23 16:25:56.000925+00,237.15,2.18
2024-12-23 16:27:56.00496+00,237.48,1.88
2024-12-23 16:29:56.003849+00,237.8,1.58
2024-12-23 16:31:56.005337+00,238.12,1.29
2024-12-23 16:33:56.006293+00,238.44,0.99
2024-12-23 16:35:56.007092+00,238.76,0.7
2024-12-23 16:37:56.009523+00,239.08,0.42
2024-12-23 16:39:56.010372+00,239.4,0.14
2024-12-23 16:42:14.433875+00,239.76,-0.37
2024-12-23 16:46:14.435965+00,240.39,-1.23
2024-12-23 16:50:14.438055+00,241.01,-1.97
2024-12-23 16:54:14.439615+00,241.63,-2.69
2024-12-23 16:58:14.440961+00,242.25,-3.39
2024-12-23 17:02:14.442864+00,242.86,-4.09
2024-12-23 17:06:14.444797+00,243.47,-4.79
2024-12-23 17:10:14.446771+00,244.07,-5.49
2024-12-23 17:13:07.661548+00,244.5,-6.0
2024-12-23 17:21:07.663615+00,245.7,-7.41
2024-12-23 17:29:07.665385+00,246.88,-8.83
2024-12-23 17:37:07.667051+00,248.05,-10.26
2024-12-23 17:46:46.560469+00,249.45,-12.0
2024-12-23 17:54:46.563386+00,250.61,-13.45
2024-12-23 18:02:46.565165+00,251.75,-14.91
2024-12-23 18:10:46.566444+00,252.89,-16.39
2024-12-23 18:19:28.735618+00,254.13,-18.0
2024-12-23 18:39:28.738265+00,256.96,-21.74
2024-12-23 18:59:28.740242+00,259.8,-25.52
2024-12-23 19:19:28.741598+00,262.67,-29.33
2024-12-23 19:39:28.742357+00,265.61,-33.17
2024-12-23 19:59:28.743454+00,268.65,-37.02
2024-12-23 20:19:28.74491+00,271.85,-40.88
2024-12-23 20:39:28.747123+00,275.25,-44.73
2024-12-23 20:59:28.748452+00,278.93,-48.56
2024-12-23 21:19:28.749933+00,283.0,-52.35
2024-12-23 21:39:28.751522+00,287.59,-56.07
2024-12-23 21:59:28.752817+00,292.9,-59.69
2024-12-23 22:19:28.755262+00,299.19,-63.16
2024-12-23 22:39:28.75659+00,306.83,-66.39
2024-12-23 22:59:28.757807+00,316.31,-69.29
2024-12-23 23:19:28.760155+00,328.09,-71.66
2024-12-23 23:39:28.761869+00,342.38,-73.28
2024-12-24 00:01:30.004536+00,0.21,-73.93
2024-12-24 00:21:30.006908+00,16.43,-73.37
2024-12-24 00:41:30.008113+00,30.9,-71.81
2024-12-24 01:01:30.008718+00,42.87,-69.49
2024-12-24 01:21:30.01034+00,52.5,-66.63
2024-12-24 01:41:30.01216+00,60.27,-63.41
2024-12-24 02:01:30.013198+00,66.65,-59.96
2024-12-24 02:21:30.015059+00,72.02,-56.35
2024-12-24 02:41:30.016271+00,76.66,-52.63
2024-12-24 03:01:30.017961+00,80.76,-48.85
2024-12-24 03:21:30.019113+00,84.47,-45.02
2024-12-24 03:41:30.021652+00,87.89,-41.17
2024-12-24 04:01:30.022797+00,91.1,-37.32
2024-12-24 04:21:30.024891+00,94.15,-33.46
2024-12-24 04:41:30.025906+00,97.1,-29.62
2024-12-24 05:01:30.027251+00,99.98,-25.8
2024-12-24 05:21:30.028741+00,102.82,-22.02
2024-12-24 05:42:59.71091+00,105.86,-18.0
2024-12-24 05:50:59.71232+00,106.99,-16.52
2024-12-24 05:58:59.71288+00,108.13,-15.05
2024-12-24 06:06:59.714347+00,109.28,-13.58
2024-12-24 06:15:41.550985+00,110.53,-12.0
2024-12-24 06:23:41.554862+00,111.69,-10.56
2024-12-24 06:31:41.556091+00,112.86,-9.13
2024-12-24 06:39:41.55771+00,114.04,-7.7
2024-12-24 06:49:20.025618+00,115.48,-6.0
2024-12-24 06:53:20.027706+00,116.08,-5.3
2024-12-24 06:57:20.029384+00,116.69,-4.6
2024-12-24 07:01:20.03012+00,117.3,-3.9
2024-12-24 07:05:20.031118+00,117.91,-3.2
2024-12-24 07:09:20.033524+00,118.52,-2.49
2024-12-24 07:13:20.036103+00,119.15,-1.77
2024-12-24 07:17:20.037278+00,119.77,-1.01
2024-12-24 07:20:12.722723+00,120.22,-0.37
2024-12-24 07:22:12.725188+00,120.54,0.1
2024-12-24 07:24:12.726991+00,120.85,0.37
2024-12-24 07:26:12.72939+00,121.17,0.66
2024-12-24 07:28:12.730461+00,121.49,0.95
2024-12-24 07:30:12.732333+00,121.81,1.24
2024-12-24 07:32:12.73444+00,122.13,1.54
2024-12-24 07:34:12.736236+00,122.45,1.83
2024-12-24 07:36:12.737661+00,122.78,2.14
2024-12-24 07:38:12.738826+00,123.1,2.44
2024-12-24 07:40:12.739704+00,123.43,2.74
2024-12-24 07:42:12.741197+00,123.76,3.05
2024-12-24 07:44:12.742981+00,124.09,3.35
2024-12-24 07:46:12.744603+00,124.42,3.66
2024-12-24 07:48:12.745145+00,124.75,3.96
2024-12-24 07:50:12.748151+00,125.08,4.27
2024-12-24 07:52:12.749093+00,125.42,4.57
2024-12-24 07:54:12.750196+00,125.75,4.88
2024-12-24 07:56:12.752339+00,126.09,5.18
2024-12-24 07:58:12.753702+00,126.43,5.49
2024-12-24 08:00:12.754223+00,126.77,5.79
2024-12-24 08:02:12.756185+00,127.11,6.09
2024-12-24 08:04:12.756948+00,127.45,6.39
2024-12-24 08:06:12.757787+00,127.79,6.69
2024-12-24 08:08:12.759316+00,128.14,6.99
2024-12-24 08:10:12.762294+00,128.49,7.29
2024-12-24 08:12:12.763179+00,128.84,7.59
2024-12-24 08:14:12.764619+00,129.19,7.88
2024-12-24 08:16:12.767183+00,129.54,8.18
2024-12-24 08:18:12.768303+00,129.89,8.47
2024-12-24 08:20:12.769502+00,130.25,8.76
2024-12-24 08:22:12.770849+00,130.6,9.05
2024-12-24 08:24:12.772169+00,130.96,9.34
2024-12-24 08:26:12.773444+00,131.32,9.63
2024-12-24 08:28:12.774831+00,131.68,9.92
2024-12-24 08:28:46.8259+00,131.79,10.0
2024-12-24 08:32:46.828613+00,132.51,10.57
2024-12-24 08:36:46.829861+00,133.25,11.13
2024-12-24 08:40:46.830668+00,133.99,11.68
2024-12-24 08:44:46.831882+00,134.74,12.23
2024-12-24 08:48:46.834897+00,135.5,12.77
2024-12-24 08:52:46.836403+00,136.26,13.31
2024-12-24 08:56:46.83792+00,137.03,13.83
2024-12-24 09:00:46.83852+00,137.81,14.35
2024-12-24 09:04:46.840265+00,138.59,14.87
2024-12-24 09:08:46.841867+00,139.39,15.37
2024-12-24 09:12:46.843401+00,140.18,15.87
2024-12-24 09:16:46.844867+00,140.99,16.35
2024-12-24 09:20:46.846239+00,141.81,16.83
2024-12-24 09:24:46.847044+00,142.63,17.31
2024-12-24 09:28:46.848507+00,143.46,17.77
2024-12-24 09:32:46.851271+00,144.3,18.22
2024-12-24 09:36:46.851744+00,145.14,18.67
2024-12-24 09:40:46.853565+00,145.99,19.1
2024-12-24 09:44:46.855011+00,146.85,19.53
2024-12-24 09:48:46.856126+00,147.72,19.94
2024-12-24 09:52:46.856464+00,148.6,20.35
2024-12-24 09:56:46.858644+00,149.48,20.75
2024-12-24 10:00:46.860182+00,150.37,21.13
2024-12-24 10:04:46.861792+00,151.27,21.51
2024-12-24 10:08:46.863818+00,152.17,21.87
2024-12-24 10:12:46.865304+00,153.09,22.23
2024-12-24 10:16:46.866531+00,154.01,22.57
2024-12-24 10:20:46.867134+00,154.93,22.9
2024-12-24 10:24:46.868498+00,155.87,23.22
2024-12-24 10:28:46.869921+00,156.81,23.53
2024-12-24 10:32:46.871045+00,157.75,23.83
2024-12-24 10:36:46.872342+00,158.71,24.11
2024-12-24 10:40:46.873572+00,159.67,24.39
2024-12-24 10:44:46.874254+00,160.63,24.65
2024-12-24 10:48:46.875664+00,161.61,24.9
2024-12-24 10:52:46.876627+00,162.58,25.14
2024-12-24 10:56:46.87817+00,163.57,25.36
2024-12-24 11:00:46.879468+00,164.56,25.57
2024-12-24 11:04:46.882054+00,165.55,25.77
2024-12-24 11:08:46.883863+00,166.55,25.96
2024-12-24 11:12:46.885059+00,167.55,26.13
2024-12-24 11:16:46.885619+00,168.56,26.29
2024-12-24 11:20:46.886531+00,169.57,26.43
2024-12-24 11:24:46.887419+00,170.58,26.57
2024-12-24 11:28:46.888809+00,171.6,26.69
2024-12-24 11:32:46.889637+00,172.62,26.79
2024-12-24 11:36:46.891398+00,173.64,26.89
2024-12-24 11:40:46.891949+00,174.67,26.96
2024-12-24 11:44:46.892517+00,175.69,27.03
2024-12-24 11:48:46.894225+00,176.72,27.08
2024-12-24 11:52:46.895563+00,177.75,27.12
2024-12-24 11:56:46.897649+00,178.78,27.14
2024-12-24 12:01:15.004797+00,179.94,27.15
2024-12-24 12:05:15.006151+00,180.97,27.14
2024-12-24 12:09:15.008286+00,182.0,27.12
2024-12-24 12:13:15.010134+00,183.03,27.09
2024-12-24 12:17:15.011239+00,184.05,27.04
2024-12-24 12:21:15.012618+00,185.08,26.98
2024-12-24 12:25:15.014222+00,186.11,26.91
2024-12-24 12:29:15.016486+00,187.13,26.82
2024-12-24 12:33:15.017829+00,188.15,26.72
2024-12-24 12:37:15.019161+00,189.17,26.6
2024-12-24 12:41:15.021718+00,190.18,26.47
2024-12-24 12:45:15.022969+00,191.2,26.33
2024-12-24 12:49:15.024527+00,192.2,26.17
2024-12-24 12:53:15.026083+00,193.21,26.0
2024-12-24 12:57:15.027355+00,194.21,25.82
2024-12-24 13:01:15.029573+00,195.2,25.62
2024-12-24 13:05:15.031709+00,196.19,25.42
2024-12-24 13:09:15.03356+00,197.18,25.19
2024-12-24 13:13:15.034719+00,198.15,24.96
2024-12-24 13:17:15.036552+00,199.13,24.71
2024-12-24 13:21:15.037937+00,200.1,24.46
2024-12-24 13:25:15.039502+00,201.06,24.19
2024-12-24 13:29:15.042165+00,202.01,23.9
2024-12-24 13:33:15.043207+00,202.96,23.61
2024-12-24 13:37:15.045237+00,203.9,23.3
2024-12-24 13:41:15.046345+00,204.84,22.98
2024-12-24 13:45:15.048007+00,205.77,22.65
2024-12-24 13:49:15.049073+00,206.69,22.31
2024-12-24 13:53:15.052412+00,207.6,21.96
2024-12-24 13:57:15.053461+00,208.51,21.6
2024-12-24 14:01:15.054483+00,209.41,21.23
2024-12-24 14:05:15.056723+00,210.3,20.85
2024-12-24 14:09:15.05827+00,211.19,20.45
2024-12-24 14:13:15.058803+00,212.07,20.05
2024-12-24 14:17:15.061566+00,212.94,19.63
2024-12-24 14:21:15.062951+00,213.8,19.21
2024-12-24 14:25:15.063722+00,214.65,18.78
2024-12-24 14:29:15.064751+00,215.5,18.34
2024-12-24 14:33:15.066444+00,216.34,17.89
2024-12-24 14:37:15.068947+00,217.17,17.42
2024-12-24 14:41:15.069739+00,217.99,16.96
2024-12-24 14:45:15.071319+00,218.81,16.48
2024-12-24 14:49:15.073315+00,219.62,15.99
2024-12-24 14:53:15.074506+00,220.42,15.5
2024-12-24 14:57:15.07595+00,221.22,15.0
2024-12-24 15:01:15.078179+00,222.0,14.49
2024-12-24 15:05:15.078838+00,222.78,13.97
2024-12-24 15:09:25.97086+00,223.59,13.42
2024-12-24 15:13:25.973617+00,224.35,12.89
2024-12-24 15:17:25.974707+00,225.11,12.35
2024-12-24 15:21:25.976979+00,225.86,11.8
2024-12-24 15:25:25.979383+00,226.6,11.25
2024-12-24 15:29:25.981105+00,227.34,10.69
2024-12-24 15:34:15.521226+00,228.22,10.0
2024-12-24 15:36:15.522659+00,228.58,9.72
2024-12-24 15:38:15.524474+00,228.94,9.43
2024-12-24 15:40:15.524388+00,229.3,9.14
2024-12-24 15:42:15.526573+00,229.66,8.85
2024-12-24 15:44:15.52815+00,230.02,8.56
2024-12-24 15:46:15.529122+00,230.37,8.26
2024-12-24 15:48:15.530472+00,230.72,7.97
2024-12-24 15:50:15.532182+00,231.07,7.68
2024-12-24 15:52:15.534377+00,231.42,7.38
2024-12-24 15:54:15.53577+00,231.77,7.08
2024-12-24 15:56:15.53709+00,232.12,6.78
2024-12-24 15:58:15.538119+00,232.46,6.48
2024-12-24 16:00:15.538793+00,232.8,6.18
2024-12-24 16:02:15.539875+00,233.15,5.88
2024-12-24 16:04:15.541118+00,233.49,5.58
2024-12-24 16:06:15.542626+00,233.82,5.27
2024-12-24 16:08:15.543364+00,234.16,4.97
2024-12-24 16:10:15.545349+00,234.5,4.66
2024-12-24 16:12:15.546476+00,234.83,4.36
2024-12-24 16:14:15.548712+00,235.17,4.05
2024-12-24 16:16:15.55054+00,235.5,3.75
2024-12-24 16:18:15.552535+00,235.83,3.44
2024-12-24 16:20:15.553554+00,236.16,3.14
2024-12-24 16:22:15.555187+00,236.49,2.83
2024-12-24 16:24:15.557193+00,236.81,2.53
2024-12-24 16:26:15.557812+00,237.14,2.22
2024-12-24 16:28:15.559676+00,237.46,1.92
2024-12-24 16:30:15.561323+00,237.79,1.62
2024-12-24 16:32:15.562366+00,238.11,1.33
2024-12-24 16:34:15.564032+00,238.43,1.03
2024-12-24 16:36:15.564327+00,238.75,0.74
2024-12-24 16:38:15.565272+00,239.07,0.46
2024-12-24 16:40:15.566567+00,239.38,0.18
2024-12-24 16:42:15.568068+00,239.7,-0.22
2024-12-24 16:42:49.597551+00,239.79,-0.37
2024-12-24 16:46:49.598936+00,240.42,-1.23
2024-12-24 16:50:49.600002+00,241.04,-1.97
2024-12-24 16:54:49.601593+00,241.66,-2.69
2024-12-24 16:58:49.602685+00,242.28,-3.39
2024-12-24 17:02:49.604985+00,242.89,-4.09
2024-12-24 17:06:49.608971+00,243.5,-4.79
2024-12-24 17:10:49.609954+00,244.1,-5.49
2024-12-24 17:13:42.359551+00,244.53,-6.0
2024-12-24 17:21:42.361609+00,245.73,-7.41
2024-12-24 17:29:42.36292+00,246.91,-8.83
2024-12-24 17:37:42.364195+00,248.08,-10.26
2024-12-24 17:47:20.860772+00,249.48,-12.0
2024-12-24 17:55:20.862387+00,250.63,-13.45
2024-12-24 18:03:20.864478+00,251.78,-14.91
2024-12-24 18:11:20.86521+00,252.92,-16.39
2024-12-24 18:20:02.741697+00,254.16,-18.0
2024-12-24 18:40:02.743866+00,256.99,-21.74
2024-12-24 19:00:02.744979+00,259.83,-25.52
2024-12-24 19:20:02.747073+00,262.7,-29.33
2024-12-24 19:40:02.748655+00,265.64,-33.17
2024-12-24 20:00:02.750599+00,268.69,-37.02
2024-12-24 20:20:02.751951+00,271.88,-40.88
2024-12-24 20:40:02.754068+00,275.29,-44.73
2024-12-24 21:00:02.755538+00,278.98,-48.56
2024-12-24 21:20:02.75729+00,283.05,-52.35
2024-12-24 21:40:02.759305+00,287.64,-56.07
2024-12-24 22:00:02.761355+00,292.96,-59.69
2024-12-24 22:20:02.762748+00,299.25,-63.15
2024-12-24 22:40:02.764978+00,306.91,-66.39
2024-12-24 23:00:02.766891+00,316.38,-69.28
2024-12-24 23:20:02.76876+00,328.17,-71.64
2024-12-24 23:40:02.77029+00,342.46,-73.26
2024-12-25 00:01:59.004969+00,0.2,-73.9
2024-12-25 00:21:59.007638+00,16.4,-73.34
2024-12-25 00:41:59.008299+00,30.85,-71.79
2024-12-25 01:01:59.009675+00,42.83,-69.47
2024-12-25 01:21:59.010889+00,52.46,-66.61
2024-12-25 01:41:59.012509+00,60.23,-63.4
2024-12-25 02:01:59.014529+00,66.61,-59.95
2024-12-25 02:22:27.381243+00,72.1,-56.25
2024-12-25 02:42:27.377662+00,76.73,-52.53
2024-12-25 03:02:27.379233+00,80.82,-48.75
2024-12-25 03:22:27.380921+00,84.52,-44.92
2024-12-25 03:42:27.383168+00,87.94,-41.07
2024-12-25 04:02:27.384558+00,91.14,-37.21
2024-12-25 04:22:27.386488+00,94.19,-33.36
2024-12-25 04:42:27.387895+00,97.14,-29.52
2024-12-25 05:02:27.389134+00,100.02,-25.7
2024-12-25 05:22:27.390341+00,102.86,-21.92
2024-12-25 05:43:24.388687+00,105.82,-18.0
2024-12-25 05:51:24.390686+00,106.96,-16.52
2024-12-25 05:59:24.391852+00,108.1,-15.05
2024-12-25 06:07:24.393156+00,109.24,-13.58
2024-12-25 06:16:05.808117+00,110.5,-12.0
2024-12-25 06:24:05.810234+00,111.66,-10.56
2024-12-25 06:32:05.811504+00,112.82,-9.13
2024-12-25 06:40:05.81294+00,114.0,-7.7
2024-12-25 06:49:43.719501+00,115.44,-6.0
2024-12-25 06:53:43.7211+00,116.04,-5.3
2024-12-25 06:57:43.722406+00,116.65,-4.6
2024-12-25 07:01:43.72457+00,117.26,-3.9
2024-12-25 07:05:43.724933+00,117.87,-3.2
2024-12-25 07:09:43.726726+00,118.49,-2.49
2024-12-25 07:13:43.728169+00,119.11,-1.77
2024-12-25 07:17:43.729876+00,119.73,-1.01
2024-12-25 07:20:35.751726+00,120.18,-0.37
2024-12-25 07:22:35.754365+00,120.5,0.1
2024-12-25 07:24:35.756494+00,120.82,0.37
2024-12-25 07:26:35.758435+00,121.13,0.66
2024-12-25 07:28:35.760479+00,121.45,0.95
2024-12-25 07:30:35.761763+00,121.77,1.24
2024-12-25 07:32:35.763426+00,122.09,1.54
2024-12-25 07:34:35.765214+00,122.42,1.84
2024-12-25 07:36:35.76672+00,122.74,2.14
2024-12-25 07:38:35.768381+00,123.07,2.44
2024-12-25 07:40:35.769799+00,123.39,2.74
2024-12-25 07:42:35.771125+00,123.72,3.05
2024-12-25 07:44:35.772077+00,124.05,3.35
2024-12-25 07:46:35.77344+00,124.38,3.66
2024-12-25 07:48:35.774208+00,124.71,3.96
2024-12-25 07:50:35.775874+00,125.04,4.27
2024-12-25 07:52:35.777514+00,125.38,4.57
2024-12-25 07:54:35.77932+00,125.71,4.88
2024-12-25 07:56:35.78043+00,126.05,5.18
2024-12-25 07:58:35.781732+00,126.39,5.49
2024-12-25 08:00:35.782683+00,126.73,5.79
2024-12-25 08:02:35.784592+00,127.07,6.09
2024-12-25 08:04:35.78626+00,127.41,6.4
2024-12-25 08:06:35.78798+00,127.76,6.7
2024-12-25 08:08:35.789042+00,128.1,7.0
2024-12-25 08:10:35.790231+00,128.45,7.29
2024-12-25 08:12:35.791866+00,128.8,7.59
2024-12-25 08:14:35.791941+00,129.15,7.89
