time,azimuth,elevation
2024-12-11 10:52:30.345098+00,164.01,25.8
2024-12-11 10:56:30.34681+00,165.0,26.01
2024-12-11 11:00:30.349283+00,166.0,26.2
2024-12-11 11:04:30.351306+00,167.01,26.38
2024-12-11 11:08:30.352417+00,168.02,26.55
2024-12-11 11:12:30.354128+00,169.03,26.7
2024-12-11 11:16:30.356549+00,170.05,26.84
2024-12-11 11:20:30.358233+00,171.07,26.96
2024-12-11 11:24:30.359777+00,172.1,27.08
2024-12-11 11:28:30.36075+00,173.13,27.18
2024-12-11 11:32:30.362613+00,174.16,27.26
2024-12-11 11:36:30.365674+00,175.19,27.33
2024-12-11 11:40:30.366305+00,176.22,27.39
2024-12-11 11:44:30.367887+00,177.26,27.43
2024-12-11 11:48:30.370314+00,178.29,27.46
2024-12-11 11:52:30.371711+00,179.33,27.48
2024-12-11 11:54:51.007114+00,179.94,27.48
2024-12-11 11:58:51.009218+00,180.97,27.48
2024-12-11 12:02:51.011103+00,182.01,27.45
2024-12-11 12:06:51.013342+00,183.04,27.42
2024-12-11 12:10:51.014313+00,184.08,27.37
2024-12-11 12:14:51.015632+00,185.11,27.31
2024-12-11 12:18:51.018585+00,186.14,27.23
2024-12-11 12:22:51.020899+00,187.17,27.15
2024-12-11 12:26:51.022922+00,188.2,27.04
2024-12-11 12:30:51.024833+00,189.22,26.93
2024-12-11 12:34:51.026184+00,190.24,26.79
2024-12-11 12:38:51.026854+00,191.26,26.65
2024-12-11 12:42:51.028811+00,192.27,26.49
2024-12-11 12:46:51.03047+00,193.28,26.32
2024-12-11 12:50:51.030786+00,194.28,26.14
2024-12-11 12:54:51.032636+00,195.28,25.94
2024-12-11 12:58:51.03377+00,196.28,25.73
2024-12-11 13:02:51.035214+00,197.27,25.51
2024-12-11 13:06:51.036703+00,198.25,25.28
2024-12-11 13:10:51.037892+00,199.23,25.03
2024-12-11 13:14:51.039901+00,200.2,24.77
2024-12-11 13:18:51.039867+00,201.17,24.5
2024-12-11 13:22:51.041111+00,202.13,24.21
2024-12-11 13:26:51.042367+00,203.08,23.91
2024-12-11 13:30:51.044487+00,204.03,23.61
2024-12-11 13:34:51.046451+00,204.97,23.29
2024-12-11 13:38:51.047364+00,205.9,22.96
2024-12-11 13:42:51.049335+00,206.83,22.61
2024-12-11 13:46:51.050212+00,207.74,22.26
2024-12-11 13:50:51.051631+00,208.66,21.9
2024-12-11 13:54:51.053523+00,209.56,21.52
2024-12-11 13:58:51.054557+00,210.45,21.14
2024-12-11 14:02:51.055667+00,211.34,20.74
2024-12-11 14:06:51.056569+00,212.22,20.34
2024-12-11 14:10:51.058662+00,213.1,19.92
2024-12-11 14:14:51.059975+00,213.96,19.49
2024-12-11 14:18:51.061504+00,214.82,19.06
2024-12-11 14:22:51.06262+00,215.67,18.62
2024-12-11 14:26:51.063745+00,216.51,18.16
2024-12-11 14:30:51.064843+00,217.35,17.7
2024-12-11 14:34:51.065675+00,218.17,17.23
2024-12-11 14:38:51.067776+00,218.99,16.75
2024-12-11 14:42:51.069225+00,219.81,16.26
2024-12-11 14:46:51.070431+00,220.61,15.76
2024-12-11 14:50:51.071244+00,221.41,15.26
2024-12-11 14:54:51.072536+00,222.2,14.75
2024-12-11 14:58:51.074132+00,222.98,14.23
2024-12-11 15:02:51.075143+00,223.75,13.7
2024-12-11 15:06:51.07808+00,224.52,13.17
2024-12-11 15:10:51.078766+00,225.28,12.62
2024-12-11 15:14:51.080539+00,226.03,12.08
2024-12-11 15:18:51.08199+00,226.78,11.52
2024-12-11 15:22:51.083385+00,227.52,10.96
2024-12-11 15:26:51.084059+00,228.25,10.39
2024-12-11 15:29:33.91518+00,228.74,10.0
2024-12-11 15:31:33.922786+00,229.1,9.71
2024-12-11 15:33:33.923621+00,229.46,9.42
2024-12-11 15:35:33.926596+00,229.82,9.13
2024-12-11 15:37:33.926931+00,230.18,8.84
2024-12-11 15:39:33.927886+00,230.53,8.55
2024-12-11 15:41:33.928878+00,230.88,8.25
2024-12-11 15:43:33.930242+00,231.24,7.96
2024-12-11 15:45:33.931112+00,231.59,7.66
2024-12-11 15:47:33.932815+00,231.94,7.36
2024-12-11 15:49:33.934422+00,232.28,7.06
2024-12-11 15:51:33.93471+00,232.63,6.76
2024-12-11 15:53:33.937477+00,232.97,6.46
2024-12-11 15:55:33.939064+00,233.32,6.15
2024-12-11 15:57:33.940489+00,233.66,5.85
2024-12-11 15:59:33.941937+00,234.0,5.54
2024-12-11 16:01:33.943669+00,234.34,5.24
2024-12-11 16:03:33.944847+00,234.67,4.93
2024-12-11 16:05:33.946525+00,235.01,4.62
2024-12-11 16:07:33.948833+00,235.34,4.32
2024-12-11 16:09:33.95223+00,235.68,4.01
2024-12-11 16:11:33.953256+00,236.01,3.7
2024-12-11 16:13:33.954726+00,236.34,3.4
2024-12-11 16:15:33.956042+00,236.67,3.09
2024-12-11 16:17:33.95754+00,236.99,2.78
2024-12-11 16:19:33.959832+00,237.32,2.48
2024-12-11 16:21:33.961268+00,237.65,2.17
2024-12-11 16:23:33.963836+00,237.97,1.87
2024-12-11 16:25:33.965491+00,238.29,1.57
2024-12-11 16:27:33.966993+00,238.61,1.27
2024-12-11 16:29:33.968222+00,238.93,0.98
2024-12-11 16:31:33.970423+00,239.25,0.69
2024-12-11 16:33:33.973489+00,239.57,0.4
2024-12-11 16:35:33.975904+00,239.89,0.12
2024-12-11 16:37:42.772869+00,240.23,-0.37
2024-12-11 16:41:42.775093+00,240.86,-1.23
2024-12-11 16:45:42.776909+00,241.48,-1.98
2024-12-11 16:49:42.778466+00,242.1,-2.7
2024-12-11 16:53:42.780131+00,242.72,-3.4
2024-12-11 16:57:42.782177+00,243.33,-4.11
2024-12-11 17:01:42.784299+00,243.94,-4.81
2024-12-11 17:05:42.785474+00,244.54,-5.51
2024-12-11 17:08:27.920628+00,244.96,-6.0
2024-12-11 17:16:27.923056+00,246.15,-7.41
2024-12-11 17:24:27.924548+00,247.34,-8.84
2024-12-11 17:32:27.925992+00,248.51,-10.27
2024-12-11 17:42:00.042342+00,249.9,-12.0
2024-12-11 17:50:00.044073+00,251.05,-13.46
2024-12-11 17:58:00.046208+00,252.2,-14.92
2024-12-11 18:06:00.046965+00,253.34,-16.4
2024-12-11 18:14:37.178437+00,254.57,-18.0
2024-12-11 18:34:37.181651+00,257.41,-21.75
2024-12-11 18:54:37.182826+00,260.26,-25.53
2024-12-11 19:14:37.185232+00,263.15,-29.35
2024-12-11 19:34:37.188518+00,266.11,-33.19
2024-12-11 19:54:37.188881+00,269.18,-37.05
2024-12-11 20:14:37.190442+00,272.4,-40.91
2024-12-11 20:34:37.190441+00,275.84,-44.75
2024-12-11 20:54:37.192282+00,279.56,-48.58
2024-12-11 21:14:37.195349+00,283.69,-52.36
2024-12-11 21:34:37.196838+00,288.34,-56.07
2024-12-11 21:54:37.198329+00,293.72,-59.67
2024-12-11 22:14:37.199838+00,300.11,-63.11
2024-12-11 22:34:37.201716+00,307.85,-66.31
2024-12-11 22:54:37.204131+00,317.41,-69.16
2024-12-11 23:14:37.205656+00,329.25,-71.47
2024-12-11 23:34:37.207121+00,343.49,-73.02
2024-12-11 23:55:34.003973+00,0.19,-73.6
2024-12-12 00:15:34.005975+00,16.15,-73.05
2024-12-12 00:35:34.007452+00,30.44,-71.52
2024-12-12 00:55:34.00838+00,42.34,-69.22
2024-12-12 01:15:34.009381+00,51.96,-66.39
2024-12-12 01:35:34.011175+00,59.74,-63.2
2024-12-12 01:55:34.011968+00,66.16,-59.76
2024-12-12 02:15:34.013889+00,71.56,-56.16
