entity_id,time,valor_medio
sensor.sensor_puerta_1_device_temperature,2025-01-22 23:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 00:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 08:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 08:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 09:30:00,24.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 10:30:00,24.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 16:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 18:00:00,24.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 18:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 19:30:00,24.0
sensor.sensor_puerta_1_device_temperature,2025-01-23 20:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 01:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 02:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 04:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 05:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 06:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 12:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-24 16:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 03:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 04:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 06:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 10:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 11:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 12:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 14:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 15:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 21:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-25 22:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-26 08:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-27 14:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-27 18:30:00,24.0
sensor.sensor_puerta_1_device_temperature,2025-01-27 20:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-27 22:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-27 23:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-28 00:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-28 00:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-28 11:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-28 13:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-28 17:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-28 22:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-29 12:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-29 12:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-29 16:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-29 19:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-29 22:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-29 23:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-30 14:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-30 20:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-01-30 21:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-31 14:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-31 15:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-31 15:30:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-01-31 16:00:00,22.5
sensor.sensor_puerta_1_device_temperature,2025-01-31 16:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-01-31 18:30:00,22.0
