time, sensor_ventana_2 Puerta,sensor_puerta_1 Puerta,sensor_ventana_1 Puerta,sensor_ventana_11 Puerta,sensor_ventana_12 Puerta,sensor_ventana_3 Puerta,sensor_ventana_4 Puerta,sensor_ventana_5 Puerta,sensor_ventana_6 Puerta,sensor_ventana_7 Puerta,sensor_ventana_8 Puerta,sensor_ventana_9 Puerta,suma_ventanas_arriba,suma_ventanas_abajo
2025-01-21 11:00:00,3600.0,3600.0,0.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.0,3600.0,0.0,4500.0,18000.0
2025-01-21 12:00:00,3600.0,3600.0,0.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.0,3600.0,0.0,4500.0,18000.0
2025-01-21 13:00:00,3600.0,1256.0,0.0,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.0,3600.0,0.0,4500.0,18000.0
2025-01-21 14:00:00,3600.0,1016.0,0.0,0.0,3600.0,3525.0,3600.0,3531.0,3600.0,0.0,3600.0,0.0,4500.0,18000.0
2025-01-21 15:00:00,3600.0,147.0,0.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,4500.0,18000.0
2025-01-21 16:00:00,3600.0,243.0,0.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,4500.0,18000.0
2025-01-21 17:00:00,533.0,2238.0,0.0,3002.0,3600.0,0.0,813.0,0.0,3600.0,0.0,881.0,0.0,2356.75,9427.0
2025-01-21 18:00:00,0.0,483.0,0.0,3600.0,3600.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,1800.0,7200.0
2025-01-21 19:00:00,0.0,341.0,0.0,765.0,768.0,0.0,0.0,0.0,752.0,0.0,0.0,0.0,380.0,1520.0
2025-01-22 05:00:00,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 06:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 07:00:00,0.0,3600.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 08:00:00,0.0,3286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 09:00:00,0.0,46.0,0.0,0.0,0.0,0.0,0.0,2907.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 10:00:00,0.0,967.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 11:00:00,0.0,835.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 12:00:00,0.0,414.0,0.0,0.0,0.0,0.0,0.0,2157.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 13:00:00,0.0,73.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 14:00:00,0.0,453.0,0.0,408.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 15:00:00,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 16:00:00,0.0,3326.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 17:00:00,0.0,3510.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 18:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 19:00:00,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 05:00:00,0.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 06:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 07:00:00,0.0,2638.0,0.0,0.0,0.0,2550.0,0.0,2557.0,0.0,325.0,0.0,0.0,0.0,0.0
2025-01-23 08:00:00,0.0,3600.0,0.0,0.0,0.0,135.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 09:00:00,0.0,3485.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0
